"CUI","LAT","SAB","TTY","LOINC CODE","LOINC DESCRIPTION","STY","eCRF TERM DESCRIPTION","LOINC WEBPAGE - EXTENDED DESCRIPTION","CLINICIAN REVIEW: DO THE DESCRIPTIONS MATCH?"
"C0362994","ENG","LNC","LN","777-3","Platelets:NCnc:Pt:Bld:Qn:Automated count","Clinical Attribute","Platelets (x10^3/uL or x10^9/L)","https://loinc.org/777-3/",""
"C0362995","ENG","LNC","LN","778-1","Platelets:NCnc:Pt:Bld:Qn:Manual count","Clinical Attribute","Platelets (x10^3/uL or x10^9/L)","https://loinc.org/778-1/",""
"C0942474","ENG","LNC","LN","26515-7","Platelets:NCnc:Pt:Bld:Qn","Clinical Attribute","Platelets (x10^3/uL or x10^9/L)","https://loinc.org/26515-7/",""
"C1977245","ENG","LNC","LN","49497-1","Platelets:NCnc:Pt:Bld:Qn:Estimate","Clinical Attribute","Platelets (x10^3/uL or x10^9/L)","https://loinc.org/49497-1/",""
"C4070202","ENG","LNC","LN","79427-1","Platelets:Naric:Pt:Bld:Qn:Microscopy.light.HPF","Clinical Attribute","Platelets (x10^3/uL or x10^9/L)","https://loinc.org/79427-1/",""
"C0364961","ENG","LNC","LN","6298-4","Potassium:SCnc:Pt:Bld:Qn","Clinical Attribute","Potassium (mmol/L)","https://loinc.org/6298-4/",""
"C0364968","ENG","LNC","LN","2823-3","Potassium:SCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Potassium (mmol/L)","https://loinc.org/2823-3/",""
"C0882319","ENG","LNC","LN","22760-3","Potassium:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Potassium (mmol/L)","https://loinc.org/22760-3/",""
"C2363391","ENG","LNC","LN","42569-4","Potassium:MSCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Potassium (mmol/L)","https://loinc.org/42569-4/",""
"C4071631","ENG","LNC","LN","75940-7","Potassium:MCnc:Pt:Bld:Qn","Clinical Attribute","Potassium (mmol/L)","https://loinc.org/75940-7/",""
"C1316422","ENG","LNC","LN","33959-8","Procalcitonin:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Procalcitonin (ng/mL)","https://loinc.org/33959-8/",""
"C3846770","ENG","LNC","LN","75241-0","Procalcitonin:MCnc:Pt:Ser/Plas:Qn:IA","Clinical Attribute","Procalcitonin (ng/mL)","https://loinc.org/75241-0/",""
"C0365405","ENG","LNC","LN","5964-2","Coagulation tissue factor induced:Time:Pt:Bld:Qn:Coag","Clinical Attribute","PT (seconds)","https://loinc.org/5964-2/",""
"C1369580","ENG","LNC","LN","34714-6","Coagulation tissue factor induced.INR:RelTime:Pt:Bld:Qn:Coag","Clinical Attribute","PT (seconds)","https://loinc.org/34714-6/",""
"C0365091","ENG","LNC","LN","2947-0","Sodium:SCnc:Pt:Bld:Qn","Clinical Attribute","Sodium (mmol/L)","https://loinc.org/2947-0/",""
"C0365095","ENG","LNC","LN","2951-2","Sodium:SCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Sodium (mmol/L)","https://loinc.org/2951-2/",""
"C1640464","ENG","LNC","LN","42570-2","Sodium:MSCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Sodium (mmol/L)","https://loinc.org/42570-2/",""
"C1716000","ENG","LNC","LN","44783-9","Sodium:SCnc:Stdy^max:Ser/Plas:Qn","Clinical Attribute","Sodium (mmol/L)","https://loinc.org/44783-9/",""
"C0482680","ENG","LNC","LN","5955-0","Coagulation thrombin induced:Time:Pt:PPP^Control:Qn:Coag","Clinical Attribute","Thrombin time (seconds)","https://loinc.org/5955-0/",""
"C0482696","ENG","LNC","LN","3243-3","Coagulation thrombin induced:Time:Pt:PPP:Qn:Coag","Clinical Attribute","Thrombin time (seconds)","https://loinc.org/3243-3/",""
"C0365218","ENG","LNC","LN","3074-2","Tumor necrosis factor.alpha:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: TNF-alpha (pg/mL)","https://loinc.org/3074-2/",""
"C1369804","ENG","LNC","LN","34939-9","Tumor necrosis factor.alpha:SCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: TNF-alpha (pg/mL)","https://loinc.org/34939-9/",""
"C1316904","ENG","LNC","LN","34442-4","Bilirubin.glucuronidated/Bilirubin.total:MFr:Pt:Ser/Plas:Qn","Clinical Attribute","Total bilirubin (mg/dL)","https://loinc.org/34442-4/",""
"C1317004","ENG","LNC","LN","34543-9","Bilirubin direct & total panel:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Total bilirubin (mg/dL)","https://loinc.org/34543-9/",""
"C1507823","ENG","LNC","LN","35672-5","Bilirubin.glucuronidated+Bilirubin.albumin bound/Bilirubin.total:MFr:Pt:Ser/Plas:Qn","Clinical Attribute","Total bilirubin (mg/dL)","https://loinc.org/35672-5/",""
"C3699885","ENG","LNC","LN","74434-2","Bilirubin/Total:MFr:Pt:Calculus:Qn:Infrared spectroscopy","Clinical Attribute","Total bilirubin (mg/dL)","https://loinc.org/74434-2/",""
"C0365029","ENG","LNC","LN","2885-2","Protein:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Total protein (g/dL)","https://loinc.org/2885-2/",""
"C0364714","ENG","LNC","LN","2571-8","Triglyceride:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Triglycerides (circle: mg/dL or mmol/L)","https://loinc.org/2571-8/",""
"C0365187","ENG","LNC","LN","3043-7","Triglyceride:MCnc:Pt:Bld:Qn","Clinical Attribute","Triglycerides (circle: mg/dL or mmol/L)","https://loinc.org/3043-7/",""
"C0550534","ENG","LNC","LN","12951-0","Triglyceride:MCnc:Pt:Ser/Plas:Qn:Calculated","Clinical Attribute","Triglycerides (circle: mg/dL or mmol/L)","https://loinc.org/12951-0/",""
"C0798100","ENG","LNC","LN","14927-8","Triglyceride:SCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Triglycerides (circle: mg/dL or mmol/L)","https://loinc.org/14927-8/",""
"C1114405","ENG","LNC","LN","30570-6","Triglyceride:Prctl:Pt:Ser/Plas:Qn","Clinical Attribute","Triglycerides (circle: mg/dL or mmol/L)","https://loinc.org/30570-6/",""
"C2363253","ENG","LNC","LN","35217-9","Triglyceride:MSCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Triglycerides (circle: mg/dL or mmol/L)","https://loinc.org/35217-9/",""
"C3482280","ENG","LNC","LN","70218-3","Triglyceride:SCnc:Pt:Bld:Qn","Clinical Attribute","Triglycerides (circle: mg/dL or mmol/L)","https://loinc.org/70218-3/",""
"C0484850","ENG","LNC","LN","6597-9","Troponin T.cardiac:MCnc:Pt:BldV:Qn","Clinical Attribute","Troponin T (ng/mL)","https://loinc.org/6597-9/",""
"C0484851","ENG","LNC","LN","6598-7","Troponin T.cardiac:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Troponin T (ng/mL)","https://loinc.org/6598-7/",""
"C1315675","ENG","LNC","LN","33204-9","Troponin T.cardiac:PrThr:Pt:Ser/Plas:Ord","Clinical Attribute","Troponin T (ng/mL)","https://loinc.org/33204-9/",""
"C1953928","ENG","LNC","LN","48425-3","Troponin T.cardiac:MCnc:Pt:Bld:Qn","Clinical Attribute","Troponin T (ng/mL)","https://loinc.org/48425-3/",""
"C1953929","ENG","LNC","LN","48426-1","Troponin T.cardiac:PrThr:Pt:Bld:Ord","Clinical Attribute","Troponin T (ng/mL)","https://loinc.org/48426-1/",""
"C3259342","ENG","LNC","LN","67151-1","Troponin T.cardiac:MCnc:Pt:Ser/Plas:Qn:High sensitivity","Clinical Attribute","Troponin T (ng/mL)","https://loinc.org/67151-1/",""
"C4696958","ENG","LNC","LN","89575-5","Troponin T.cardiac:Imp:Pt:Ser/Plas:Ord:High sensitivity","Clinical Attribute","Troponin T (ng/mL)","https://loinc.org/89575-5/",""
"C4696959","ENG","LNC","LN","89576-3","Troponin T.cardiac panel:-:Pt:Ser/Plas:-:High sensitivity","Clinical Attribute","Troponin T (ng/mL)","https://loinc.org/89576-3/",""
"C0362934","ENG","LNC","LN","804-5","Leukocytes:NCnc:Pt:Bld:Qn:Manual count","Clinical Attribute","WBC Count (x10^3/uL or 10^9/L)","https://loinc.org/804-5/",""
"C0484430","ENG","LNC","LN","6690-2","Leukocytes:NCnc:Pt:Bld:Qn:Automated count","Clinical Attribute","WBC Count (x10^3/uL or 10^9/L)","https://loinc.org/6690-2/",""
"C0945357","ENG","LNC","LN","26464-8","Leukocytes:NCnc:Pt:Bld:Qn","Clinical Attribute","WBC Count (x10^3/uL or 10^9/L)","https://loinc.org/26464-8/",""
"C1977246","ENG","LNC","LN","49498-9","Leukocytes:NCnc:Pt:Bld:Qn:Estimate","Clinical Attribute","WBC Count (x10^3/uL or 10^9/L)","https://loinc.org/49498-9/",""
"C0365235","ENG","LNC","LN","3091-6","Urea:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/3091-6/",""
"C0365237","ENG","LNC","LN","6299-2","Urea nitrogen:MCnc:Pt:Bld:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/6299-2/",""
"C0365240","ENG","LNC","LN","3094-0","Urea nitrogen:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/3094-0/",""
"C0365243","ENG","LNC","LN","3097-3","Urea nitrogen/Creatinine:MRto:Pt:Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/3097-3/",""
"C0365244","ENG","LNC","LN","3098-1","Urea renal clearance:VRat:24H:Urine+Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/3098-1/",""
"C0550556","ENG","LNC","LN","13506-1","Urea nitrogen renal clearance:VRat:Pt:Urine+Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/13506-1/",""
"C0550562","ENG","LNC","LN","12966-8","Urea nitrogen^2H specimen:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/12966-8/",""
"C0550569","ENG","LNC","LN","12965-0","Urea nitrogen^70M specimen:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/12965-0/",""
"C0550572","ENG","LNC","LN","12964-3","Urea nitrogen^baseline:MCnc:Pt:Bld:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/12964-3/",""
"C0550574","ENG","LNC","LN","11064-3","Urea nitrogen^post dialysis:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/11064-3/",""
"C0550575","ENG","LNC","LN","11065-0","Urea nitrogen^pre dialysis:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/11065-0/",""
"C0798110","ENG","LNC","LN","14937-7","Urea nitrogen:SCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/14937-7/",""
"C0803775","ENG","LNC","LN","20977-5","Urea:MCnc:Pt:Bld:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/20977-5/",""
"C0882305","ENG","LNC","LN","22664-7","Urea:SCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/22664-7/",""
"C1543818","ENG","LNC","LN","39776-0","Urea^post dialysis:SCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/39776-0/",""
"C1543819","ENG","LNC","LN","39777-8","Urea^pre dialysis:SCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/39777-8/",""
"C1543825","ENG","LNC","LN","39783-6","Urea/Creatinine:SRto:Pt:Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/39783-6/",""
"C1714854","ENG","LNC","LN","44734-2","Urea nitrogen/Creatinine:MRto:Pt:Bld:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/44734-2/",""
"C1954428","ENG","LNC","LN","48791-8","Urea nitrogen peritoneal dialysis clearance/1.73 sq M:ArVRat:Pt:Dial fld prt+Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/48791-8/",""
"C1954821","ENG","LNC","LN","49071-4","Urea nitrogen^post dialysis/pre dialysis:MRto:Pt:Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/49071-4/",""
"C1977917","ENG","LNC","LN","50063-7","Urea renal clearance/1.73 sq M:ArVRat:XXX:Urine+Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/50063-7/",""
"C2360419","ENG","LNC","LN","51735-9","Urea nitrogen renal clearance:VRat:24H:Urine+Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/51735-9/",""
"C2363269","ENG","LNC","LN","42571-0","Urea:MSCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/42571-0/",""
"C2603375","ENG","LNC","LN","35234-4","Urea nitrogen:MSCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/35234-4/",""
"C2707194","ENG","LNC","LN","54456-9","Urea reduction ratio:SFr:Pt:Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/54456-9/",""
"C2735265","ENG","LNC","LN","56997-0","Urea/Creatinine:MRto:Pt:Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/56997-0/",""
"C2923578","ENG","LNC","LN","59187-5","Urea renal clearance/1.73 sq M:ArVRat:24H:Urine+Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/59187-5/",""
"C2923863","ENG","LNC","LN","59570-2","Urea nitrogen:SCnc:Pt:Bld:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/59570-2/",""
"C3483625","ENG","LNC","LN","71339-6","Urea renal clearance/1.73 sq M^hemodialysis:ArVRat:Pt:Urine+Ser/Plas:Qn:ESRD","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/71339-6/",""
"C3533783","ENG","LNC","LN","72270-2","Urea nitrogen^pre contrast:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/72270-2/",""
"C3655021","ENG","LNC","LN","72903-8","Urea:SCnc:Pt:Bld:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/72903-8/",""
"C4037271","ENG","LNC","LN","77010-7","Urea^post dialysis/pre dialysis:SRto:Pt:Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/77010-7/",""
"C5212549","ENG","LNC","LN","93975-1","Urea nitrogen^1H specimen:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/93975-1/",""
"C5212581","ENG","LNC","LN","94003-1","Urea nitrogen^1H post dose vasopressin:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/94003-1/",""
"C5212590","ENG","LNC","LN","94012-2","Urea nitrogen^2H post dose vasopressin:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Urea (BUN) (mg/dL)","https://loinc.org/94012-2/",""
"C0364665","ENG","LNC","LN","2524-7","Lactate:SCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Lactate (mmol/L)","https://loinc.org/2524-7/",""
"C0797304","ENG","LNC","LN","14118-4","Lactate:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Lactate (mmol/L)","https://loinc.org/14118-4/",""
"C1315166","ENG","LNC","LN","32693-4","Lactate:SCnc:Pt:Bld:Qn","Clinical Attribute","Lactate (mmol/L)","https://loinc.org/32693-4/",""
"C2363361","ENG","LNC","LN","35245-0","Lactate:MSCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Lactate (mmol/L)","https://loinc.org/35245-0/",""
"C2926016","ENG","LNC","LN","59032-3","Lactate:MCnc:Pt:Bld:Qn","Clinical Attribute","Lactate (mmol/L)","https://loinc.org/59032-3/",""
"C0550543","ENG","LNC","LN","10839-9","Troponin I.cardiac:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Troponin I (ng/mL)","https://loinc.org/10839-9/",""
"C0799420","ENG","LNC","LN","16255-2","Troponin I.cardiac:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Troponin I (ng/mL)","https://loinc.org/16255-2/",""
"C1646772","ENG","LNC","LN","42757-5","Troponin I.cardiac:MCnc:Pt:Bld:Qn","Clinical Attribute","Troponin I (ng/mL)","https://loinc.org/42757-5/",""
"C1977318","ENG","LNC","LN","49563-0","Troponin I.cardiac:MCnc:Pt:Ser/Plas:Qn:Detection limit <= 0.01 ng/mL","Clinical Attribute","Troponin I (ng/mL)","https://loinc.org/49563-0/",""
"C4037792","ENG","LNC","LN","76399-5","Troponin I.cardiac:PrThr:Pt:Ser/Plas/Bld:Ord:IA.rapid","Clinical Attribute","Troponin I (ng/mL)","https://loinc.org/76399-5/",""
"C4696961","ENG","LNC","LN","89577-1","Troponin I.cardiac panel:-:Pt:Ser/Plas:-:High sensitivity","Clinical Attribute","Troponin I (ng/mL)","https://loinc.org/89577-1/",""
"C4696963","ENG","LNC","LN","89578-9","Troponin I.cardiac:Imp:Pt:Ser/Plas:Ord:High sensitivity","Clinical Attribute","Troponin I (ng/mL)","https://loinc.org/89578-9/",""
"C4696964","ENG","LNC","LN","89579-7","Troponin I.cardiac:MCnc:Pt:Ser/Plas:Qn:High sensitivity","Clinical Attribute","Troponin I (ng/mL)","https://loinc.org/89579-7/",""
"C0364092","ENG","LNC","LN","1959-6","Bicarbonate:SCnc:Pt:Bld:Qn","Clinical Attribute","Bicarbonate (mmol/L)","https://loinc.org/1959-6/",""
"C0364096","ENG","LNC","LN","1963-8","Bicarbonate:SCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Bicarbonate (mmol/L)","https://loinc.org/1963-8/",""
"C0550832","ENG","LNC","LN","13087-2","Complement alternate pathway AH50:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Complement levels: AH50 (%)","https://loinc.org/13087-2/",""
"C3847383","ENG","LNC","LN","74520-8","Complement alternate pathway AH50 actual/normal:RelACnc:Pt:Ser:Qn:IA","Clinical Attribute","Complement levels: AH50 (%)","https://loinc.org/74520-8/",""
"C0366729","ENG","LNC","LN","4500-5","Complement C4 CH50:MCnc:Pt:CSF:Qn","Clinical Attribute","Complement levels: CH50 (%)","https://loinc.org/4500-5/",""
"C0366764","ENG","LNC","LN","4511-2","Complement total hemolytic CH50:ACnc:Pt:Body fld:Qn","Clinical Attribute","Complement levels: CH50 (%)","https://loinc.org/4511-2/",""
"C0482780","ENG","LNC","LN","4532-8","Complement total hemolytic CH50:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Complement levels: CH50 (%)","https://loinc.org/4532-8/",""
"C0804012","ENG","LNC","LN","21218-3","Complement total hemolytic CH50:ACnc:Pt:CSF:Qn","Clinical Attribute","Complement levels: CH50 (%)","https://loinc.org/21218-3/",""
"C1114023","ENG","LNC","LN","30131-7","Complement total hemolytic CH50:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Complement levels: CH50 (%)","https://loinc.org/30131-7/",""
"C1953458","ENG","LNC","LN","48071-5","Complement total hemolytic CH50:Titr:Pt:Ser/Plas:Qn","Clinical Attribute","Complement levels: CH50 (%)","https://loinc.org/48071-5/",""
"C1953998","ENG","LNC","LN","48496-4","Complement total hemolytic CH50 actual/Normal:RelCCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Complement levels: CH50 (%)","https://loinc.org/48496-4/",""
"C3847382","ENG","LNC","LN","74521-6","Complement total hemolytic CH50 actual/normal:RelACnc:Pt:Ser:Qn:IA","Clinical Attribute","Complement levels: CH50 (%)","https://loinc.org/74521-6/",""
